timestamp,cpu_usage,memory_usage,disk_usage
2025-02-07 12:28:14,28.6,39.85,12
2025-02-07 12:35:11,29.4,40.29,12
2025-02-07 13:25:07,23.1,39.85,12
2025-02-07 13:27:45,23.1,40.51,12
2025-02-07 13:30:01,62.5,41.06,12
2025-02-07 13:40:01,66.7,40.62,12
2025-04-07 13:50:01,57.1,41.06,12
2025-04-07 14:00:01,66.7,40.84,12
2025-04-07 14:10:01,50,41.39,12
2025-04-07 14:20:01,50,40.62,12
2025-04-07 14:30:01,66.7,41.72,12
2025-04-07 14:40:01,66.7,41.72,12
2025-04-07 14:50:01,60,41.61,12
2025-04-07 14:54:28,23.1,40.29,12
2025-04-07 14:56:50,26.7,40.62,12
2025-04-07 14:57:49,16.7,40.51,12
2025-04-07 15:00:01,62.5,40.95,12
2025-04-07 15:10:01,62.5,41.39,12
2025-04-07 15:20:01,60,41.17,12
2025-04-07 15:30:01,50,40.40,12
2025-04-07 15:40:01,57.1,41.28,12
2025-04-07 15:50:01,62.5,41.28,12
2025-04-07 15:52:59,25,40.51,12
2025-04-07 15:53:54,25,40.51,12
2025-04-07 15:55:06,25,40.18,12
2025-04-07 15:55:32,26.7,40.51,12
2025-04-07 15:55:59,26.7,40.29,12
2025-04-07 15:56:32,21.4,40.51,12
2025-04-07 15:57:08,28.6,40.51,12
2025-04-07 15:59:09,30.8,40.29,12
2025-04-07 16:00:01,50,41.61,12
2025-04-07 16:04:23,25,40.51,12
2025-04-07 16:10:01,50,41.06,12
2025-04-07 16:14:33,20,40.29,12
2025-04-07 16:14:57,28.6,40.07,12
2025-04-07 16:15:10,23.1,40.29,12
2025-04-07 16:15:50,23.1,40.40,12
2025-04-07 16:20:01,50,41.17,12
2025-04-07 16:30:01,55.6,42.05,12
2025-04-07 16:40:01,42.9,41.83,12
2025-04-07 16:50:01,50,41.61,12
2025-04-07 17:00:01,55.6,42.05,12
2025-04-07 17:10:02,50,42.05,12
2025-04-07 17:18:55,23.1,39.62,12
2025-04-07 17:19:37,25,39.85,12
2025-04-07 17:19:43,30.8,40.07,12
2025-04-07 17:20:01,42.9,41.39,12
2025-04-07 17:21:21,26.7,39.85,12
2025-04-07 17:23:14,18.2,39.51,12
2025-04-07 17:23:41,20,39.62,12
2025-04-07 17:24:18,21.4,39.62,12
2025-04-07 17:24:39,26.7,39.62,12
2025-04-07 17:30:01,42.9,38.19,12
2025-04-07 17:40:01,42.9,38.19,12
2025-04-07 17:50:01,62.5,38.08,12
2025-04-07 18:00:01,75,38.85,12
2025-04-07 18:10:01,50,38.08,12
2025-04-07 18:20:01,57.1,37.86,12
2025-04-07 18:30:01,50,38.08,12
2025-04-07 18:40:01,50,38.41,12
2025-04-07 18:50:01,66.7,38.30,12
2025-04-07 19:00:01,50,37.97,12
2025-04-07 19:10:01,57.1,38.19,12
2025-04-07 19:20:01,50,38.19,12
2025-04-07 19:30:01,57.1,38.08,12
2025-04-07 19:40:02,62.5,37.86,12
2025-04-07 19:50:01,50,38.19,12
2025-04-07 20:00:01,50,37.86,12
2025-04-07 20:10:01,62.5,38.30,12
2025-04-07 20:20:01,50,38.08,12
2025-04-07 20:30:01,50,37.97,12
2025-04-07 20:40:01,55.6,38.41,12
2025-04-07 20:50:01,42.9,38.19,12
2025-04-07 21:00:01,42.9,37.97,12
2025-04-07 21:10:01,42.9,38.08,12
2025-04-07 21:20:01,42.9,38.08,12
2025-04-07 21:30:01,50,38.08,12
2025-04-07 21:40:01,57.1,38.19,12
2025-04-07 21:50:01,50,37.86,12
2025-04-07 22:00:01,50,37.86,12
2025-04-07 22:10:01,42.9,38.19,12
2025-04-07 22:20:01,50,38.63,12
2025-04-07 22:30:01,50,38.30,12
2025-04-07 22:40:01,42.9,38.19,12
2025-04-07 22:50:01,42.9,38.08,12
2025-04-07 23:00:01,50,38.19,12
2025-04-07 23:10:01,50,37.53,12
2025-04-07 23:20:01,33.3,38.52,12
2025-04-07 23:30:01,50,38.08,12
2025-04-07 23:40:01,55.6,37.86,12
2025-04-07 23:50:01,62.5,37.97,12
2025-04-08 00:00:01,75,38.08,12
2025-04-08 00:10:01,50,38.30,12
2025-04-08 00:20:01,42.9,38.52,12
2025-04-08 00:30:01,50,38.19,12
2025-04-08 00:40:01,33.3,38.63,12
2025-04-08 00:50:01,50,38.19,12
2025-04-08 01:00:01,50,38.52,12
2025-04-08 01:10:01,62.5,38.19,12
2025-04-08 01:20:01,42.9,37.75,12
2025-04-08 01:30:01,50,38.08,12
2025-04-08 01:40:01,50,37.97,12
2025-04-08 01:50:01,50,38.52,12
2025-04-08 02:00:01,50,38.19,12
2025-04-08 02:10:01,50,38.08,12
2025-04-08 02:20:01,55.6,38.08,12
2025-04-08 02:30:01,77.8,38.52,12
2025-04-08 02:40:01,57.1,38.08,12
2025-04-08 02:50:01,57.1,37.86,12
2025-04-08 03:00:01,42.9,37.86,12
2025-04-08 03:10:01,42.9,38.52,12
2025-04-08 03:20:01,57.1,38.08,12
2025-04-08 03:30:01,75,38.19,12
2025-04-08 03:40:01,50,38.52,12
2025-04-08 03:50:01,50,38.19,12
2025-04-08 04:00:01,57.1,37.86,12
2025-04-08 04:10:01,50,37.86,12
2025-04-08 04:20:01,50,38.52,12
2025-04-08 04:30:01,50,38.30,12
